index,hub,latitude,longitude
201,17357,28.98698,-95.96511
202,17358,29.1689,-95.99808
203,17359,29.3199,-96.10283
204,17360,29.57141,-96.45083
205,17361,29.59924,-96.3441
206,17362,29.6317,-96.0653
207,17363,29.77405,-95.28871
208,17364,30.04007,-94.89767
209,17365,29.8783,-93.95287
210,17366,32.49518,-94.72285
211,17367,31.58658,-97.09361
212,17368,32.01808,-97.1295
213,17369,32.36334,-97.38531
214,17370,30.45297,-97.72045
215,17371,30.64937,-98.29172
216,17372,30.75623,-98.6777
217,17373,30.26875,-97.75438
218,17374,30.16443,-96.40022
219,17375,30.18393,-96.93918
220,17376,29.16852,-100.03589
221,17377,29.16385,-100.09941
222,17378,28.7005,-100.49798
223,17379,29.16466,-100.39697
224,17380,26.10789,-98.24669
225,17381,26.2144,-98.33081
226,17382,26.37796,-98.81226
227,17383,28.0231,-97.05026
228,17384,28.6169,-96.62388
229,17385,28.69113,-96.82822
230,17386,28.87556,-96.21747
231,17387,29.22942,-95.91783
232,17388,29.49702,-95.58989
233,17389,29.56036,-95.81247
234,17390,29.88416,-97.92773
235,17391,29.42914,-98.50676
236,17392,29.42934,-98.50536
237,17393,29.68134,-98.63629
238,17394,30.57167,-98.28091
239,17395,30.84636,-96.98711
240,17396,31.13899,-99.3382
241,17397,31.44353,-97.40439
242,17398,31.96313,-95.27574
243,17399,32.14565,-95.1219
244,17400,32.35481,-95.2981
245,17401,32.15649,-94.79482
246,17402,32.27279,-94.97911
247,17403,32.20856,-95.84935
248,17404,27.78539,-97.48694
249,17405,27.94827,-97.58247
250,17406,30.27798,-103.81711
251,17407,30.35088,-103.68076
252,17408,31.10704,-104.11348
253,17409,31.42584,-103.50151
254,17410,31.2198,-101.94267
255,17411,31.48126,-100.41713
256,17412,31.04456,-103.65813
257,17413,32.44841,-100.53003
258,17414,32.21779,-99.79771
259,17415,32.44823,-99.7254
260,17416,31.59006,-102.91075
261,17417,30.13458,-102.38878
262,17418,31.1759,-105.35837
263,17419,32.47166,-100.40135
264,17420,32.50668,-100.39531
265,17421,32.51079,-100.40576
266,17422,31.77072,-106.47165
267,17423,31.78587,-106.52503
268,17424,31.77611,-99.36726
269,17425,32.22025,-98.68141
270,17426,32.58003,-97.35869
271,17427,32.54636,-97.32071
272,17428,32.49382,-94.72899
273,17429,32.55129,-94.36926
274,17430,31.96133,-95.2793
275,17431,32.58127,-95.10835
276,17432,30.52567,-96.69691
277,17433,30.70728,-96.86377
278,17434,30.63499,-97.08092
279,17435,30.08998,-94.07669
280,17436,30.09048,-93.74637
281,17437,30.14996,-93.74019
282,17438,29.98586,-94.00072
283,17439,29.79914,-95.28813
284,17440,29.8039,-95.2883
285,17441,29.75949,-95.29879
286,17442,29.69508,-95.32628
287,17443,29.71568,-95.33287
288,17444,29.42456,-95.24294
289,17445,29.4019,-95.17641
290,17446,29.30511,-94.80014
291,17447,29.15865,-95.43123
292,17448,29.57308,-95.77746
293,17449,28.83987,-96.55324
294,17450,28.64511,-96.89445
295,17451,29.68687,-97.11519
296,17452,29.6653,-97.50603
297,17453,29.43489,-98.44762
298,17454,29.41632,-98.50757
299,17455,29.80243,-98.02902
300,17456,29.87715,-97.94138
301,17457,30.3775,-97.73639
302,17458,30.50157,-97.68301
303,17459,31.0535,-97.35193
304,17461,26.20531,-98.23901
305,17462,29.37369,-94.8933
306,17463,29.66585,-95.01593
307,17464,28.66335,-96.55273
308,17465,30.91571,-94.72945
309,17466,32.61514,-99.81358
310,17467,30.55579,-97.06856
311,17468,30.08536,-93.77324
312,17469,28.49998,-96.77259
313,17470,28.94173,-95.34077
314,17471,30.69612,-95.44461
315,17472,30.70322,-95.44672
316,17473,30.71964,-95.54959
317,17474,29.55238,-104.3761
318,17475,29.506,-97.45056
319,17476,29.74268,-95.28752
320,17477,30.10281,-96.08025
321,17478,32.51965,-100.23299
322,17479,32.51214,-100.30664
323,17480,32.55612,-97.55135
324,17481,32.76309,-96.55386
325,17482,32.96965,-95.19571
326,17483,32.99364,-95.03906
327,17484,32.95631,-95.28937
328,17485,32.86609,-94.2834
329,17486,33.4297,-96.33896
330,17487,33.59866,-102.61594
331,17488,32.21936,-100.44937
332,17489,29.70219,-98.12865
333,17490,29.67818,-98.18332
334,17491,29.67213,-98.16774
335,17492,29.59822,-98.32115
336,17493,29.60925,-98.32108
